id,cliente,dispositivo,marca,prioridad,horas,estado,costoBase,garantia,repuestos,modalidad
P001,Persona01,celular,Nexo,1,2,ABIERTA,1000,NO,100,NORMAL
P002,Persona02,notebook,Andes,2,3,ENTREGADA,1100,SI,200,EXPRESS
P003,Persona03,tablet,Sur,3,1,ABIERTA,1200,NO,300,NORMAL
P004,Persona04,consola,Nexo,1,4,ENTREGADA,1300,SI,400,EXPRESS
P005,Persona05,celular,Andes,2,5,ABIERTA,1400,NO,500,NORMAL
P006,Persona06,notebook,Sur,3,2,ENTREGADA,1500,SI,600,EXPRESS
P007,Persona07,tablet,Nexo,1,3,ABIERTA,1600,NO,700,NORMAL
P008,Persona08,consola,Andes,2,1,ENTREGADA,1700,SI,800,EXPRESS
P009,Persona09,celular,Sur,3,4,ABIERTA,1800,NO,900,NORMAL
P010,Persona10,notebook,Nexo,1,5,CANCELADA,1900,NO,0,EXPRESS
P011,Persona11,tablet,Andes,2,2,ENTREGADA,2000,SI,100,NORMAL
P012,Persona12,consola,Sur,3,3,ABIERTA,2100,NO,200,EXPRESS
P013,Persona13,celular,Nexo,1,1,ENTREGADA,2200,SI,300,NORMAL
P014,Persona14,notebook,Andes,2,4,ABIERTA,2300,NO,400,EXPRESS
P015,Persona15,tablet,Sur,3,5,ENTREGADA,2400,SI,500,NORMAL
P016,Persona16,consola,Nexo,1,2,ABIERTA,2500,NO,600,EXPRESS
P017,Persona17,celular,Andes,2,3,ENTREGADA,2600,SI,700,NORMAL
P018,Persona18,notebook,Sur,3,1,ABIERTA,2700,NO,800,EXPRESS
P019,Persona19,tablet,Nexo,1,4,ENTREGADA,2800,SI,900,NORMAL
P020,Persona20,consola,Andes,2,5,CANCELADA,2900,NO,0,EXPRESS
P021,Persona21,celular,Sur,3,2,ENTREGADA,3000,SI,100,NORMAL
P022,Persona22,notebook,Nexo,1,3,ABIERTA,3100,NO,200,EXPRESS
P023,Persona23,tablet,Andes,2,1,ENTREGADA,3200,SI,300,NORMAL
P024,Persona24,consola,Sur,3,4,ABIERTA,3300,NO,400,EXPRESS
P025,Persona25,celular,Nexo,1,5,ENTREGADA,3400,SI,500,NORMAL
P026,Persona26,notebook,Andes,2,2,ABIERTA,3500,NO,600,EXPRESS
P027,Persona27,tablet,Sur,3,3,ENTREGADA,3600,SI,700,NORMAL
P028,Persona28,consola,Nexo,1,1,ABIERTA,3700,NO,800,EXPRESS
P029,Persona29,celular,Andes,2,4,ENTREGADA,3800,SI,900,NORMAL
P030,Persona30,notebook,Sur,3,5,CANCELADA,3900,NO,0,EXPRESS
P031,Persona31,tablet,Nexo,1,2,ENTREGADA,4000,SI,100,NORMAL
P032,Persona32,consola,Andes,2,3,ABIERTA,4100,NO,200,EXPRESS
P033,Persona33,celular,Sur,3,1,ENTREGADA,4200,SI,300,NORMAL
P034,Persona34,notebook,Nexo,1,4,ABIERTA,4300,NO,400,EXPRESS
P035,Persona35,tablet,Andes,2,5,ENTREGADA,4400,SI,500,NORMAL
P036,Persona36,consola,Sur,3,2,ABIERTA,4500,NO,600,EXPRESS
P037,Persona37,celular,Nexo,1,3,ENTREGADA,4600,SI,700,NORMAL
P038,Persona38,notebook,Andes,2,1,ABIERTA,4700,NO,800,EXPRESS
P039,Persona39,tablet,Sur,3,4,ENTREGADA,4800,SI,900,NORMAL
P040,Persona40,consola,Nexo,1,5,CANCELADA,4900,NO,0,EXPRESS
P041,Persona41,celular,Andes,2,2,ENTREGADA,5000,SI,100,NORMAL
P042,Persona42,notebook,Sur,3,3,ABIERTA,5100,NO,200,EXPRESS
P043,Persona43,tablet,Nexo,1,1,ENTREGADA,5200,SI,300,NORMAL
P044,Persona44,consola,Andes,2,4,ABIERTA,5300,NO,400,EXPRESS
P045,Persona45,celular,Sur,3,5,ENTREGADA,5400,SI,500,NORMAL
P046,Persona46,notebook,Nexo,1,2,ABIERTA,5500,NO,600,EXPRESS
P047,Persona47,tablet,Andes,2,3,ENTREGADA,5600,SI,700,NORMAL
P048,Persona48,consola,Sur,3,1,ABIERTA,5700,NO,800,EXPRESS
P049,Persona49,celular,Nexo,1,4,ENTREGADA,5800,SI,900,NORMAL
P050,Persona50,notebook,Andes,2,5,CANCELADA,5900,NO,0,EXPRESS
P051,Persona51,tablet,Sur,3,2,ENTREGADA,6000,SI,100,NORMAL
P052,Persona52,consola,Nexo,1,3,ABIERTA,6100,NO,200,EXPRESS
P053,Persona53,celular,Andes,2,1,ENTREGADA,6200,SI,300,NORMAL
P054,Persona54,notebook,Sur,3,4,ABIERTA,6300,NO,400,EXPRESS
P055,Persona55,tablet,Nexo,1,5,ENTREGADA,6400,SI,500,NORMAL
P056,Persona56,consola,Andes,2,2,ABIERTA,6500,NO,600,EXPRESS
P057,Persona57,celular,Sur,3,3,ENTREGADA,6600,SI,700,NORMAL
P058,Persona58,notebook,Nexo,1,1,ABIERTA,6700,NO,800,EXPRESS
P059,Persona59,tablet,Andes,2,4,ENTREGADA,6800,SI,900,NORMAL
P060,Persona60,consola,Sur,3,5,CANCELADA,6900,NO,0,EXPRESS
P061,Persona61,celular,Nexo,1,2,ENTREGADA,7000,SI,100,NORMAL
P062,Persona62,notebook,Andes,2,3,ABIERTA,7100,NO,200,EXPRESS
P063,Persona63,tablet,Sur,3,1,ENTREGADA,7200,SI,300,NORMAL
P064,Persona64,consola,Nexo,1,4,ABIERTA,7300,NO,400,EXPRESS
P065,Persona65,celular,Andes,2,5,ENTREGADA,7400,SI,500,NORMAL
P066,Persona66,notebook,Sur,3,2,ABIERTA,7500,NO,600,EXPRESS
P067,Persona67,tablet,Nexo,1,3,ENTREGADA,7600,SI,700,NORMAL
P068,Persona68,consola,Andes,2,1,ABIERTA,7700,NO,800,EXPRESS
P069,Persona69,celular,Sur,3,4,ENTREGADA,7800,SI,900,NORMAL
P070,Persona70,notebook,Nexo,1,5,CANCELADA,7900,NO,0,EXPRESS
P071,Persona71,tablet,Andes,2,2,ENTREGADA,8000,SI,100,NORMAL
P072,Persona72,consola,Sur,3,3,ABIERTA,8100,NO,200,EXPRESS
P073,Persona73,celular,Nexo,1,1,ENTREGADA,8200,SI,300,NORMAL
P074,Persona74,notebook,Andes,2,4,ABIERTA,8300,NO,400,EXPRESS
P075,Persona75,tablet,Sur,3,5,ENTREGADA,8400,SI,500,NORMAL
P076,Persona76,consola,Nexo,1,2,ABIERTA,8500,NO,600,EXPRESS
P077,Persona77,celular,Andes,2,3,ENTREGADA,8600,SI,700,NORMAL
P078,Persona78,notebook,Sur,3,1,ABIERTA,8700,NO,800,EXPRESS
P079,Persona79,tablet,Nexo,1,4,ENTREGADA,8800,SI,900,NORMAL
P080,Persona80,consola,Andes,2,5,CANCELADA,8900,NO,0,EXPRESS
